Brand,Model,Maximum PDR,Low Light ISO,Low Light EV,Read Noise ISO,Sensor Width,Sensor Height,Pixel Width,Pixel Height,Mount
Sony,a290,8.41,418,7.06,,23.6,15.8,4600,3072,A
Nikon,1 V1,7.85,576,7.53,3200,13.2,8.8,3904,2606,1
Nikon,D1,6.56,208,6.06,1600,23.7,15.5,1995,1304,F DX
Pentax,K-m,8.28,367,6.88,,23.5,15.7,3912,2608,K
Sony,a390,8.44,413,7.04,,23.5,15.7,4600,3072,A
Nikon,1 J1,7.88,561,7.49,3200,13.2,8.8,3904,2606,1
Sony,a350,8.41,400,7,,23.6,15.8,4600,3072,A
Samsung,NX10,7.72,399,7,800,23.4,15.6,4680,3120,NX
Nikon,1 J3,7.79,607,7.6,,13.2,8.8,4620,3082,1
Nikon,D3000,8.07,367,6.88,1600,23.6,15.8,4310,2868,F DX
Olympus,E-420,7.49,315,6.65,,18.0,14.0,3720,2800,Four Thirds
Olympus,E-450,7.52,323,6.69,,17.3,13.0,3720,2800,Four Thirds
Nikon,1 V2,7.67,578,7.53,6400,13.2,8.8,4620,3082,1
Nikon,1 S1,7.88,507,7.34,,13.2,8.8,3948,2602,1
Pentax,K-7,7.65,373,6.9,,23.4,15.6,4736,3136,K
Nikon,D200,7.79,319,6.67,3200,23.6,15.8,3904,2616,F DX
Panasonic,Lumix DMC-GF3,7.13,324,6.69,,17.3,13.0,4016,3016,Four Thirds
Panasonic,Lumix DMC-GF5,7.05,323,6.69,,17.3,13.0,4019,3016,Four Thirds
Nikon,1 V3,7.62,602,7.59,6400,13.2,8.8,5248,3502,1
Samsung,NX100,7.69,364,6.86,,23.4,15.6,4704,3124,NX
Nikon,1 AW1,7.74,531,7.41,3200,13.2,8.8,4620,3082,1
Nikon,D80,8.01,291,6.54,636,23.6,15.8,3900,2613,F DX
Sony,a100,8.1,281,6.49,,24.0,16.0,3880,2608,A
Olympus,E-520,7.48,274,6.45,,17.0,13.0,3720,2800,Four Thirds
Nikon,D1X,7.03,202,6.01,800,23.7,15.5,2847,1861,F DX
Nikon,D2Xs,7.86,276,6.46,800,23.7,15.7,4328,2866,F DX
Nikon,D2X,7.87,271,6.44,800,23.7,15.7,4320,2868,F DX
Panasonic,Lumix DMC-G1,7.37,258,6.36,,17.3,13.0,4018,3016,Four Thirds
Olympus,E-3,7.65,225,6.17,3200,17.3,13.0,3720,2800,Four Thirds
Olympus,E-410,7.11,215,6.1,,18.0,14.0,3720,2800,Four Thirds
Panasonic,Lumix DMC-G2,7.33,232,6.21,,17.3,13.0,4000,3000,Four Thirds
Olympus,E-510,7.13,202,6.01,,18.0,14.0,3720,2800,Four Thirds
Panasonic,Lumix DMC-GF1,7.24,210,6.07,3200,17.3,13.0,4018,3016,Four Thirds
Leica,S-E (Typ 006),9.48,816,8.03,800,45.0,30.0,7500,5000,S
Panasonic,Lumix DMC-G10,7.22,202,6.01,,17.3,13.0,4000,3000,Four Thirds
Panasonic,Lumix DMC-L10,7.74,188,5.91,,17.0,13.0,3682,2751,Four Thirds
Panasonic,Lumix DMC-GF2,7.15,195,5.96,,17.3,13.0,4088,3016,Four Thirds
Pentax,645D,9.73,1008,8.33,,44.0,33.0,7424,5552,645 A
